State,Year,Quarter,Transaction_Type,Transaction_Count,Transaction_Amount
Andaman & Nicobar Islands,2024,3,Retail,3128743,2070761616.0674696
Andaman & Nicobar Islands,2024,4,P2P,1988874,6136436300.439975
Andaman & Nicobar Islands,2024,4,Retail,3637868,2481524882.9257965
Andaman & Nicobar Islands,2024,4,Utility,453059,316771541.97845095
Andaman & Nicobar Islands,2025,1,P2P,2042168,6340234515.915836
Andaman & Nicobar Islands,2025,1,Retail,3813109,2502525496.556294
Andaman & Nicobar Islands,2025,1,Utility,476805,319382590.4770886
Andaman & Nicobar Islands,2025,2,P2P,1943344,6083764058.930067
Andaman & Nicobar Islands,2025,2,Retail,3953793,2492429112.308087
Andaman & Nicobar Islands,2025,2,Utility,478132,317262267.1716582
Andaman & Nicobar Islands,2025,3,P2P,2062721,5987445028.796866
Andaman & Nicobar Islands,2025,3,Utility,484457,352059550.06020766
Andaman & Nicobar Islands,2025,3,Retail,4184644,2450833410.1140356
Andaman & Nicobar Islands,2025,4,P2P,2368365,6940894153.206369
Andaman & Nicobar Islands,2025,4,Retail,4719538,3006463522.8985558
Andaman & Nicobar Islands,2025,4,Utility,521632,430340132.5522865
Andaman & Nicobar Islands,2026,1,P2P,2444181,7309540774.152678
Andaman & Nicobar Islands,2026,1,Retail,4993199,3151423541.120183
Andaman & Nicobar Islands,2026,1,Utility,527121,466542074.37311816
Andaman & Nicobar Islands,2026,2,P2P,2318395,6919716967.907633
Andaman & Nicobar Islands,2026,2,Retail,4915599,3057475220.283496
Andaman & Nicobar Islands,2026,2,Utility,519101,465102854.636179
Andhra Pradesh,2018,1,P2P,3470494,12240195598.365974
Andhra Pradesh,2018,1,Retail,6888562,1399789736.8780491
Andhra Pradesh,2018,1,Utility,503773,361085871.48101455
Andhra Pradesh,2018,2,P2P,5367902,23508496914.21012
Andhra Pradesh,2018,2,Retail,8191674,1997270127.222042
Andhra Pradesh,2018,2,Utility,1137792,849721558.6855456
Andhra Pradesh,2018,3,P2P,17848404,36912048477.86053
Andhra Pradesh,2018,3,Retail,9823208,2270015172.8517704
Andhra Pradesh,2018,3,Utility,1591118,1106629847.299339
Andhra Pradesh,2018,4,P2P,19562957,52891909539.82443
Andhra Pradesh,2018,4,Utility,1916648,1453941462.2139916
Andhra Pradesh,2018,4,Retail,14242724,3597313104.7495456
Andhra Pradesh,2019,1,P2P,43527491,90765950511.21124
Andhra Pradesh,2019,1,Retail,21565529,5137363403.173556
Andhra Pradesh,2019,1,Utility,2888424,2138883952.82676
Andhra Pradesh,2019,2,P2P,41431019,132848849845.70235
Andhra Pradesh,2019,2,Retail,29006645,8789415469.061436
Andhra Pradesh,2019,2,Utility,2803995,3220818000.455343
Andhra Pradesh,2019,3,P2P,49997866,159660136797.86392
Andhra Pradesh,2019,3,Retail,38574125,12510521016.959248
Andhra Pradesh,2019,3,Utility,4461164,4869658117.274415
